Sourced from:,http://maternalheart.org/propers-saints.html,,,https://bbloomf.github.io/jgabc/propers.html,,,,
Date,Feast,Introitus,Graduale,Tractus,Alleluia,Alleluia PT,Offertorium,Communio
Dec 6,St Nicholas,statuit,inveni david,,justus ut palma,,veritas mea,semel juravi
Dec 7,St Ambrose,in medio,ecce sacerdos,,juravit dominus,,veritas mea,semel juravi
Dec 8,The Immaculate Conception of BVM,gaudens gaudebo... quasi,benedicta es tu,,tota pulchra es,,ave maria,gloriosa
Dec 10,St Melchiades,si diligis me,exaltent eum,,tu es petrus,,ecce dedi,tu es petrus
Dec 11,St Damasus,si diligis me,exaltent eum,,tu es petrus,,ecce dedi,tu es petrus
Dec 12,Our Lady of Guadalupe,salve sancta parens,quae est ista,,flores... tempus,,elegi,non fecit
Dec 13,St Lucy,dilexisti,dilexisti,,diffusa est,,afferentur... post eam,principes
Dec 16,St Eusebius,sacerdotes dei,gloria et honore,,hic est sacerdos,,inveni david,posuisti domine
Dec 21,St Thomas,mihi autem nimis,nimis honorati,,gaudete justi,,in omnem terram,mitte manum tuam
Dec 26,St Stephen,etenim sederunt,sederunt principes,,video caelos,,elegerunt apostoli,video caelos
Dec 27,St John,in medio,exiit sermo,,hic est discipulus,,justus ut palma,exiit sermo
Dec 28,The Holy Innocents,ex ore infantium,anima... sicut passer,,laudate pueri,,anima nostra,vox in rama
